GCA023426425	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Nemorincola	Nemorincola sp023426425
GCA023426435	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Opitutus	Opitutus sp023426435
GCA023426505	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Microvirga sp023426505
GCA023426545	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus sp023426545
GCA023426575	Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	JAFAAL01	JAFAAL01 sp023426575
GCA023426625	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp023426625
GCA023426765	Bacteria	Bacillota	Clostridia	DSM-8532	DSM-8532	JAAYJG01	JAAYJG01 sp023426765
GCA023426855	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ZC4RG25	ZC4RG25 sp023426855
GCA023426865	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Cellulomonadaceae	Actinotalea	Actinotalea sp023426865
GCA023426935	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	RUG11872	RUG11872 sp023426935
GCA023427085	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Orrella	Orrella sp023427085
GCA023427125	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	JAEZBP01	JAEZBP01 sp023427125
GCA023427285	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pedomonas	Pedomonas sp023427285
